

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- NVIM STARTING ---
000.045  000.041: event init
000.092  000.048: early init
000.124  000.032: locale set
000.151  000.026: init first window
000.377  000.226: inits 1
000.394  000.016: window checked
000.429  000.035: parsing arguments
000.806  000.040  000.040: require('vim.shared')
000.899  000.035  000.035: require('vim._meta')
000.901  000.092  000.058: require('vim._editor')
000.902  000.174  000.042: require('vim._init_packages')
000.904  000.301: init lua interpreter
000.967  000.063: expanding arguments
000.993  000.026: inits 2
001.255  000.261: init highlight
001.256  000.002: waiting for UI
001.371  000.114: done waiting for UI
001.375  000.004: clear screen
001.470  000.095: init default mappings & autocommands
001.804  000.037  000.037: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/ftplugin.vim
001.836  000.016  000.016: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/indent.vim
001.969  000.090  000.090: require('options')
002.474  000.369  000.369: require('lazy')
002.511  000.020  000.020: require('ffi')
002.561  000.048  000.048: require('vim.loader')
002.607  000.025  000.025: require('vim.fs')
002.692  000.119  000.095: require('lazy.stats')
002.838  000.128  000.128: require('lazy.core.util')
002.952  000.112  000.112: require('lazy.core.config')
003.038  000.036  000.036: require('lazy.core.handler')
003.135  000.096  000.096: require('lazy.core.plugin')
003.140  000.186  000.054: require('lazy.core.loader')
003.695  000.041  000.041: require('lazy.core.handler.keys')
003.725  000.026  000.026: require('lazy.core.handler.cmd')
003.773  000.046  000.046: require('lazy.core.handler.event')
003.808  000.033  000.033: require('lazy.core.handler.ft')
004.383  000.111  000.111: require('vim.inspect')
004.722  000.017  000.017: sourcing /home/beicker/.local/share/nvim/lazy/vim-godot/ftdetect/gdscript.vim
004.769  000.019  000.019: sourcing /home/beicker/.local/share/nvim/lazy/vim-godot/ftdetect/gsl.vim
005.274  000.283  000.283: sourcing /home/beicker/.local/share/bob/v0.9.1/nvim-linux64/share/nvim/runtime/filetype.lua
006.238  000.673  000.673: require('onedark')
007.702  000.078  000.078: require('onedark')
008.494  000.057  000.057: require('onedark.palette')
008.538  000.157  000.101: require('onedark.colors')
008.600  000.058  000.058: require('onedark.util')
008.723  000.548  000.333: require('onedark.highlights')
010.792  000.052  000.052: require('onedark.terminal')
010.803  003.344  002.666: sourcing /home/beicker/.local/share/nvim/lazy/onedark.nvim/colors/onedark.lua
011.018  000.038  000.038: sourcing /home/beicker/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
012.232  000.123  000.123: require('nvim-tree.notify')
012.239  000.220  000.097: require('nvim-tree.events')
012.626  000.188  000.188: require('nvim-tree.log')
012.948  000.071  000.071: require('nvim-tree.iterators.node-iterator')
012.979  000.350  000.278: require('nvim-tree.utils')
